betId,bettor,betSide,betAmount,liquidityYes,liquidityNo,reservedYes,reservedNo,totalRemainingLiquidity,oddsYes,oddsNo,lockedOdds,potentialReturn,yieldPct,cashoutDetails,totalVolYes,totalVolNo
"N/A","Initia...","N/A","0.0000","75.0000","75.0000","0.0000","0.0000","150.0000","2.0000","2.0000","N/A","N/A","N/A","N/A","0.0000","0.0000"
"15","0x15d3...","Yes","20.0000","95.0000","59.2105","0.0000","15.7895","170.0000","1.7894","2.8711","1.7499","15.0000","75.00%","N/A","20.0000","0.0000"
"16","0x9965...","No","5.0000","89.0630","63.1575","0.0000","11.8425","164.0630","1.8421","2.5976","2.1279","5.6401","112.80%","N/A","20.0000","5.0000"
"17","0x976E...","Yes","50.0000","139.0630","40.4493","0.0000","34.5507","214.0630","1.5393","5.2921","1.4313","21.5728","43.15%","N/A","70.0000","5.0000"
"18","0x14dC...","No","40.0000","91.1532","61.7093","0.0000","13.2907","166.1532","1.8227","2.6925","2.1378","45.5143","113.79%","N/A","70.0000","45.0000"
"19","0x2361...","No","30.0000","72.4336","77.6573","2.5664","0.0000","152.6573","2.1075","1.9657","1.5927","17.7836","59.28%","N/A","70.0000","75.0000"
"20","0xa0Ee...","Yes","20.0000","82.6976","68.0189","0.0000","6.9811","157.6976","1.9069","2.3184","1.4578","9.1565","45.78%","N/A","90.0000","75.0000"
"N/A","After ...","N/A","0.0000","100.4812","55.9806","0.0000","19.0194","175.4812","1.7464","3.1346","N/A","N/A","N/A","Cashout 11.4364 from ID 19","90.0000","75.0000"
"21","0x15d3...","Yes","10.0000","110.4812","50.9136","0.0000","24.0864","185.4812","1.6788","3.6430","1.4812","4.8136","48.14%","N/A","100.0000","75.0000"
"N/A","After ...","N/A","0.0000","85.3390","65.9136","0.0000","9.0864","160.3390","1.8788","2.4325","N/A","N/A","N/A","Cashout 23.8852 from ID 15","100.0000","75.0000"
