,,,,,,,,,,,,,,,,Fees 1,Fees 2,,,,,,,,
,,,,,,,,,,,,,,,,0.05,0.05,,,,,,,,
,,,,,,,,,,,,,,,,,,,,,,,,,
User,Option 1,Option 2,Total 1,Total 2,Excess 1,Excess 2,Liquidity X0,Liquidity Y0,Reserved Change X,Reserved Change Y,Reserve X,Reserve Y,Constant,Price 1,Price 2,Locked Odds 1,Locked Odds 2,Payout 1,Payout 2,Fees 1,Fees 2,Last Odds 1,Last Odds 2,Cashout 1,Cashout 2
,,,,,,,75,75,,,,,=J8*I8,,,,,,,,,,,,
A,10,,=C9+E8,=D9+F8,=E9-F9,=F9-E9,"=IFS(AND(C9>0,G8=0),I8+C9,AND(C9>0,G8>0),I8+C9,AND(C9>0,G8<0),I8+C9*M8/H8,AND(C9=0,G8=0),O9/(J8+D9),AND(C9=0,G8>0),O9/(J8+D9*N8/G9),AND(C9=0,G8<0),O9/(J8+D9))","=IFS(AND(D9>0,H8=0),J8+D9,AND(D9>0,H8>0),J8+D9,AND(D9>0,H8<0),J8+D9*N8/G8,AND(D9=0,H8=0),O9/(I8+C9),AND(D9=0,H8>0),O9/(I8+C9*M8/H8),AND(D9=0,H8<0),O9/(I8+C9))","=IF(I9>=$I$8,0,I8-I9)","=IF(J9>=$J$8,0,J8-J9)","=IF(I9>=$I$8,0,I$8-I9)","=IF(J9>=$J$8,0,J$8-J9)",=O8,=(I8+J8)/I8,=(I8+J8)/J8,"=IF(C9>0,1+(J8-J9)/(C9)*(1-R$5),"""")","=IF(D9>0,1+(I8-I9)/(D9)*(1-S$5),"""")","=IF(C9>0,C9*R9,"""")","=IF(D9>0,D9*S9,"""")","=IF(C9>0,(J8-J9)*R$5,"""")","=IF(D9>0,(I8-I9)*S$5,"""")","=IF(R10>0,X10,P9)","=IF(S10>0,Y10,Q9)",,
B,10,,=C10+E9,=D10+F9,=E10-F10,=F10-E10,"=IFS(AND(C10>0,G9=0),I9+C10,AND(C10>0,G9>0),I9+C10,AND(C10>0,G9<0),I9+C10*M9/H9,AND(C10=0,G9=0),O10/(J9+D10),AND(C10=0,G9>0),O10/(J9+D10*N9/G9),AND(C10=0,G9<0),O10/(J9+D10))","=IFS(AND(D10>0,H9=0),J9+D10,AND(D10>0,H9>0),J9+D10,AND(D10>0,H9<0),J9+D10*N9/G9,AND(D10=0,H9=0),O10/(I9+C10),AND(D10=0,H9>0),O10/(I9+C10*M9/H9),AND(D10=0,H9<0),O10/(I9+C10))","=IF(I10>=$I$8,0,I9-I10)","=IF(J10>=$J$8,0,J9-J10)","=IF(I10>=$I$8,0,I$8-I10)","=IF(J10>=$J$8,0,J$8-J10)",=O9,=(I9+J9)/I9,=(I9+J9)/J9,"=IF(C10>0,1+(J9-J10)/(C10)*(1-R$5),"""")","=IF(D10>0,1+(I9-I10)/(D10)*(1-S$5),"""")","=IF(C10>0,C10*R10,"""")","=IF(D10>0,D10*S10,"""")","=IF(C10>0,(J9-J10)*R$5,"""")","=IF(D10>0,(I9-I10)*S$5,"""")","=IF(R11>0,X11,P10)","=IF(S11>0,Y11,Q10)",,
C,10,,=C11+E10,=D11+F10,=E11-F11,=F11-E11,"=IFS(AND(C11>0,G10=0),I10+C11,AND(C11>0,G10>0),I10+C11,AND(C11>0,G10<0),I10+C11*M10/H10,AND(C11=0,G10=0),O11/(J10+D11),AND(C11=0,G10>0),O11/(J10+D11*N10/G10),AND(C11=0,G10<0),O11/(J10+D11))","=IFS(AND(D11>0,H10=0),J10+D11,AND(D11>0,H10>0),J10+D11,AND(D11>0,H10<0),J10+D11*N10/G10,AND(D11=0,H10=0),O11/(I10+C11),AND(D11=0,H10>0),O11/(I10+C11*M10/H10),AND(D11=0,H10<0),O11/(I10+C11))","=IF(I11>=$I$8,0,I10-I11)","=IF(J11>=$J$8,0,J10-J11)","=IF(I11>=$I$8,0,I$8-I11)","=IF(J11>=$J$8,0,J$8-J11)",=O10,=(I10+J10)/I10,=(I10+J10)/J10,"=IF(C11>0,1+(J10-J11)/(C11)*(1-R$5),"""")","=IF(D11>0,1+(I10-I11)/(D11)*(1-S$5),"""")","=IF(C11>0,C11*R11,"""")","=IF(D11>0,D11*S11,"""")","=IF(C11>0,(J10-J11)*R$5,"""")","=IF(D11>0,(I10-I11)*S$5,"""")","=IF(R12>0,X12,P11)","=IF(S12>0,Y12,Q11)",,
D,10,,=C12+E11,=D12+F11,=E12-F12,=F12-E12,"=IFS(AND(C12>0,G11=0),I11+C12,AND(C12>0,G11>0),I11+C12,AND(C12>0,G11<0),I11+C12*M11/H11,AND(C12=0,G11=0),O12/(J11+D12),AND(C12=0,G11>0),O12/(J11+D12*N11/G11),AND(C12=0,G11<0),O12/(J11+D12))","=IFS(AND(D12>0,H11=0),J11+D12,AND(D12>0,H11>0),J11+D12,AND(D12>0,H11<0),J11+D12*N11/G11,AND(D12=0,H11=0),O12/(I11+C12),AND(D12=0,H11>0),O12/(I11+C12*M11/H11),AND(D12=0,H11<0),O12/(I11+C12))","=IF(I12>=$I$8,0,I11-I12)","=IF(J12>=$J$8,0,J11-J12)","=IF(I12>=$I$8,0,I$8-I12)","=IF(J12>=$J$8,0,J$8-J12)",=O11,=(I11+J11)/I11,=(I11+J11)/J11,"=IF(C12>0,1+(J11-J12)/(C12)*(1-R$5),"""")","=IF(D12>0,1+(I11-I12)/(D12)*(1-S$5),"""")","=IF(C12>0,C12*R12,"""")","=IF(D12>0,D12*S12,"""")","=IF(C12>0,(J11-J12)*R$5,"""")","=IF(D12>0,(I11-I12)*S$5,"""")","=IF(R13>0,X13,P12)","=IF(S13>0,Y13,Q12)",,
E,10,,=C13+E12,=D13+F12,=E13-F13,=F13-E13,"=IFS(AND(C13>0,G12=0),I12+C13,AND(C13>0,G12>0),I12+C13,AND(C13>0,G12<0),I12+C13*M12/H12,AND(C13=0,G12=0),O13/(J12+D13),AND(C13=0,G12>0),O13/(J12+D13*N12/G12),AND(C13=0,G12<0),O13/(J12+D13))","=IFS(AND(D13>0,H12=0),J12+D13,AND(D13>0,H12>0),J12+D13,AND(D13>0,H12<0),J12+D13*N12/G12,AND(D13=0,H12=0),O13/(I12+C13),AND(D13=0,H12>0),O13/(I12+C13*M12/H12),AND(D13=0,H12<0),O13/(I12+C13))","=IF(I13>=$I$8,0,I12-I13)","=IF(J13>=$J$8,0,J12-J13)","=IF(I13>=$I$8,0,I$8-I13)","=IF(J13>=$J$8,0,J$8-J13)",=O12,=(I12+J12)/I12,=(I12+J12)/J12,"=IF(C13>0,1+(J12-J13)/(C13)*(1-R$5),"""")","=IF(D13>0,1+(I12-I13)/(D13)*(1-S$5),"""")","=IF(C13>0,C13*R13,"""")","=IF(D13>0,D13*S13,"""")","=IF(C13>0,(J12-J13)*R$5,"""")","=IF(D13>0,(I12-I13)*S$5,"""")","=IF(R14>0,X14,P13)","=IF(S14>0,Y14,Q13)",,
